session_id,item_id,rank
3234,15502,1
3234,10569,2
3234,14394,3
3234,3173,4
3234,26853,5
3234,26853,6
3234,26853,7
3234,15218,8
3234,20568,9
3234,26853,10
3234,3735,11
3234,7721,12
3234,26853,13
3234,21246,14
3234,26853,15
3234,10410,16
3234,4243,17
3234,6736,18
3234,18665,19
3234,16085,20
3234,26853,21
3234,11472,22
3234,1537,23
3234,26853,24
3234,26853,25
3234,6574,26
3234,26853,27
3234,17564,28
3234,26853,29
3234,6736,30
3234,24087,31
3234,25347,32
3234,26580,33
3234,26853,34
3234,19712,35
3234,19712,36
3234,25809,37
3234,5580,38
3234,21370,39
3234,6736,40
3234,25809,41
3234,17814,42
3234,26853,43
3234,17695,44
3234,1463,45
3234,21890,46
3234,2174,47
3234,24315,48
3234,26853,49
3234,26853,50
3234,18457,51
3234,3173,52
3234,7590,53
3234,18244,54
3234,23241,55
3234,4073,56
3234,26853,57
3234,23573,58
3234,24071,59
3234,25506,60
3234,26853,61
3234,20566,62
3234,26853,63
3234,22582,64
3234,13701,65
3234,20829,66
3234,24769,67
3234,12692,68
3234,20201,69
3234,23241,70
3234,22676,71
3234,12145,72
3234,14394,73
3234,3173,74
3234,15651,75
3234,22582,76
3234,26853,77
3234,25563,78
3234,15699,79
3234,15502,80
3234,1351,81
3234,10681,82
3234,26853,83
3234,21616,84
3234,26853,85
3234,26853,86
3234,15881,87
3234,21578,88
3234,18917,89
3234,25065,90
3234,20800,91
3234,6588,92
3234,1351,93
3234,15881,94
3234,21821,95
3234,7871,96
3234,19712,97
3234,6736,98
3234,26853,99
3234,23925,100
